island,site,n_lizards
Amorgos,AMORGOS,4
Aspronisi,ASPRO,21
Aspronisi,ASPRONISI,15
Fidoussa,FIDOUSSA,17
Gramvoussa,GRAMVOUSSA,18
Ios,IOS,28
Irakleia,IRAKLEIA,15
Kisiri,KISIRI,19
Mando,MANDO,50
Naxos,DEMAR,30
Naxos,EMONI,14
Naxos,MALYKO,11
Naxos,NALYKO,6
Naxos,RACHI,10
Naxos,SAGRI,7
Naxos,SMONI,24
Naxos,VIGLA,18
Naxos,WMONI,29
Nikouria,NIKOURIA,22
Parthenos,PARTHENOS,26
Schoinoussa,SCHOINOUSSA,21
